consumption,savings,income
41747.08,0.0,41747.08
60238.51,18586.95,78825.46
41490.16,0.0,41490.16
56766.24,0.0,56766.24
28634.0,0.0,28634.0
24684.08,0.0,24684.08
15543.38,0.0,15543.38
44001.31,0.0,44001.31
24806.23,0.0,24806.23
38053.15,0.0,38053.15
54416.47,0.0,54416.47
14975.17,0.0,14975.17
16011.74,0.0,16011.74
23569.4,0.0,23569.4
31792.96,0.0,31792.96
5261.42,0.0,5261.42
15053.13,0.0,15053.13
34513.65,0.0,34513.65
19552.88,0.0,19552.88
27636.66,0.0,27636.66
17122.14,0.0,17122.14
38212.12,0.0,38212.12
14535.54,0.0,14535.54
33074.28,6983.6,40057.88
12882.4,0.0,12882.4
28733.74,0.0,28733.74
36995.31,0.0,36995.31
33051.1,0.0,33051.1
18924.02,0.0,18924.02
14337.72,1475.4,15813.119999999999
31468.47,0.0,31468.47
25712.4,26413.04,52125.44
34237.22,0.0,34237.22
31885.91,0.0,31885.91
16368.52,0.0,16368.52
25017.04,0.0,25017.04
31122.11,19809.78,50931.89
25386.59,0.0,25386.59
24540.74,3442.62,27983.36
17069.67,2950.81,20020.48
12621.14,0.0,12621.14
23547.45,0.0,23547.45
43263.09,0.0,43263.09
16712.02,0.0,16712.02
16768.79,0.0,16768.79
15678.31,3934.42,19612.73
16379.26,7336.95,23716.21
6840.24,0.0,6840.24
31337.18,0.0,31337.18
29838.35,7826.08,37664.43
12180.29,0.0,12180.29
25549.82,0.0,25549.82
7729.46,0.0,7729.46
23395.88,11803.27,35199.15
