log_dowry,elementary_plus,junior_plus,college,ethnicity,year,mar_year,mar_age,husband_elementary,husband_junior,husband_college,husband_mar_age,pre_marriage_asset,muslim,multiple_wives
,1.0,1.0,1.0,Batak,2007.0,2005.0,30.0,1.0,0.0,0.0,37.0,20000000.0,1.0,1.0
,1.0,1.0,0.0,Batak,2007.0,,27.0,1.0,0.0,0.0,,1500000.0,0.0,
,0.0,0.0,0.0,Jawa,2007.0,2002.0,,1.0,1.0,0.0,22.0,,1.0,0.0
,1.0,1.0,0.0,Jawa,2007.0,2005.0,23.0,1.0,1.0,0.0,24.0,600000.0,1.0,0.0
13.71015,1.0,1.0,0.0,Batak,2007.0,1997.0,25.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0
8.517193,0.0,0.0,0.0,Jawa,2000.0,1997.0,21.0,1.0,1.0,0.0,25.0,,1.0,0.0
12.611538,1.0,0.0,0.0,Jawa,2000.0,1997.0,17.0,0.0,0.0,0.0,20.0,,1.0,0.0
12.611538,1.0,0.0,0.0,Jawa,2007.0,2004.0,,1.0,1.0,0.0,25.0,,1.0,0.0
8.517193,0.0,0.0,0.0,Jawa,2000.0,1959.0,11.0,0.0,0.0,0.0,,150.0,1.0,
,1.0,1.0,0.0,Batak,2007.0,2005.0,19.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0
6.214608,,,,Jawa,2000.0,,,,,,,80.0,1.0,
8.517193,0.0,0.0,0.0,Jawa,2000.0,1996.0,19.0,0.0,0.0,0.0,22.0,,1.0,0.0
,0.0,0.0,0.0,Tionghoa,2000.0,1961.0,20.0,0.0,0.0,0.0,,,0.0,
10.819778,1.0,0.0,0.0,Jawa,2007.0,2007.0,19.0,0.0,0.0,0.0,26.0,,1.0,0.0
13.815511,1.0,0.0,0.0,Jawa,2007.0,1993.0,18.0,1.0,1.0,1.0,26.0,,1.0,0.0
,0.0,0.0,0.0,Batak,2000.0,1980.0,17.0,0.0,0.0,0.0,17.0,,0.0,0.0
