Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Poland,POL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,43585.1194236272
Portugal,PRT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,41498.3669564203
Puerto Rico,PRI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,42994.7856404917
Qatar,QAT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,116159.142559471
Romania,ROU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,40267.3065891116
Russian Federation,RUS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,39753.45703125
Rwanda,RWA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3060.02893126731
Samoa,WSM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6304.34613688419
San Marino,SMR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Sao Tome and Principe,STP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5541.3016760535
Saudi Arabia,SAU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,55055.3996823571
Senegal,SEN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4317.2263915953
Serbia,SRB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,25718.4299758377
Seychelles,SYC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,29468.9512755913
Sierra Leone,SLE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3034.21894320278
Singapore,SGP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,127543.55475211
Sint Maarten (Dutch part),SXM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,44894.6934642898
Slovak Republic,SVK,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,39171.7826208886
Slovenia,SVN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,47825.2300822798
Solomon Islands,SLB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2534.02756338361
Somalia,SOM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,1402.46992062464
South Africa,ZAF,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13690.3894584515
South Sudan,SSD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Spain,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,47298.4121876661
Sri Lanka,LKA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13029.523937847
St. Kitts and Nevis,KNA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,30409.4041094129
St. Lucia,LCA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,23403.4617661837
St. Martin (French part),MAF,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
St. Vincent and the Grenadines,VCT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,18335.2120818044
Sudan,SDN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2469.19458007813
Suriname,SUR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,19043.7052869285
Sweden,SWE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,62665.2172577283
Switzerland,CHE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,81683.8662644452
Syrian Arab Republic,SYR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Tajikistan,TJK,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4472.3241378777
Tanzania,TZA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3620.79345703125
Thailand,THA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,21142.6643331162
